Tipo de Obra;Nro. GEX;Fecha Vencimiento;Estado;Regional;Solicitantes;Fecha de Solicitud;Fecha de Resolución;Fecha de Inscripción;Cadual;Volumen;Uso;Destino;Lat;Lon;Mes Inicio;Mes Final;Horas x Año;Depto.-Padrón;Id Solicitud;Codigo Cuencas de nivel 5;Sección Judicial;Cuencas de nivel 3;Curso a Utilizar;Área de Cuenca;Área de Embalse;Volúmen de Embalse;Altura Máxima;Tipo de acuifero;profundidad;Diámetro;Caudal Ensayado;Nivel Estático;Nivel Dinámico;Caudal Máximo;Codigo Cuencas de nivel 2;Accion Solicitud;Tipo Resolución
Pozo;SGRH-2015-10-004-0510-1-645;30/6/2021;Registrada;MONTEVIDEO;Adrián Gimer Orfao;19/11/2015;12/1/2016;16/2/2016;5,5;23760;Riego;Hortalizas;-34,69429882;-56,17251204;12;11;4320;CANELONES-5313;244312;63502;4;Ao. CANELÓN GRANDE entre Ao. CANELÓN CHICO y Río Santa Lucía;635;;;;;;39;150;5,5;35;10;;63;Cesión;Permiso de uso
Represa Chica;SGRH-2015-10-004-0510-1-646;30/6/2026;Archivada con Resolución;RÍO BRANCO;Luis Carlos Sebben Vivian;19/11/2015;14/9/2016;29/9/2016;0;700000;Otros usos agropecuarios;Abrevadero de ganado;-32,25536142;-54,98635887;4;3;8640;TACUAREMBÓ-1853;244313;50610;12;RÍO NEGRO entre Ao. FRAILE MUERTO y Ao. Tupambaé;Cda. Sarandí;162;27,3;803000;8,5;;;;;;;;50;Renov/Modif;Concesión
Pozo;SGRH-2015-10-004-0510-1-647;30/6/2021;Registrada;MONTEVIDEO;Adrián Gimer Orfao;23/11/2015;15/1/2016;16/2/2016;5,2;22464;Riego;Hortalizas;-34,69633735;-56,17502049;12;11;4320;CANELONES-5313;244314;63502;4;Ao. CANELÓN GRANDE entre Ao. CANELÓN CHICO y Río Santa Lucía;635;;;;;;56;150;5,5;52;18;;63;Cesión;Permiso de uso
Pozo;SGRH-2015-10-004-0510-1-648;26/10/2050;Registrada;FRAY BENTOS;OSE ;23/11/2015;26/10/2015;15/12/2015;3,6;20736;Consumo humano;Abastecimiento a poblaciones;-34,42538949;-57,2055232;12;11;5760;COLONIA-17685;244315;24100;;RÍO DE LA PLATA entre Ao. SAUCE GRANDE y Ao. Cufré;241;;;;;;28;152,4;3,6;12,5;14,74;;24;Nueva;Permiso de uso
Pozo;SGRH-2015-10-004-0510-1-65;30/6/2025;Registrada;MONTEVIDEO;Luis Daniel Cerutti Elgue;27/2/2015;7/12/2015;18/2/2016;12;12600;Riego;Hortalizas;-34,82197978;-56,40104232;12;6;1050;MONTEVIDEO-166978;244317;26000;13;RÍO DE LA PLATA entre Río Santa Lucía y Ao. Pantanoso;260;;;;;;40;152;12;20;34;;26;Nueva;Permiso de uso
Pozo;SGRH-2015-10-004-0510-1-650;26/10/2050;Registrada;FRAY BENTOS;OSE ;24/11/2015;26/10/2015;15/12/2015;2,5;14400;Consumo humano;Abastecimiento a poblaciones;-34,00240663;-57,57263514;12;11;5760;COLONIA-3398;244318;21110;2;RÍO SAN JUAN entre Ao. PIEDRAS DE ESPINOSA y Ao. Sauce;211;;;;;;43;152,4;2,5;9,5;14,5;;21;Nueva;Permiso de uso
Pozo;SGRH-2015-10-004-0510-1-651;30/6/2025;Registrada;MONTEVIDEO;Carlos Martínez Domanda;24/11/2015;17/3/2016;2/5/2016;6;19440;Riego;Frutales;-34,74888707;-56,31194415;12;5;3240;MONTEVIDEO-150001;244319;67710;;Ao. COLORADO entre Ao. DE LAS PIEDRAS y Río Santa Lucía;677;;;;;;26;1500;6;6;24;;67;Nueva;Permiso de uso
Pozo;SGRH-2015-10-004-0510-1-653;30/6/2025;Registrada;MONTEVIDEO;Carlos Martínez Domanda;24/11/2015;9/6/2016;27/6/2016;6;19440;Riego;Frutales;-34,74611187;-56,31167586;12;5;3240;MONTEVIDEO-120558;244321;67710;;Ao. COLORADO entre Ao. DE LAS PIEDRAS y Río Santa Lucía;677;;;;;;25;1500;6;5;23;;67;Nueva;Permiso de uso
Pozo;SGRH-2015-10-004-0510-1-654;26/10/2050;Registrada;FRAY BENTOS;OSE ;24/11/2015;26/10/2015;13/4/2016;1,5;6480;Consumo humano;Abastecimiento a poblaciones;-33,98035602;-57,63070124;12;11;4320;COLONIA-17585;244322;21700;;RÍO SAN JUAN entre Ao. MIGUELETE y Río De La Plata;217;;;;;;43;152,4;1,5;8;21;;21;Nueva;Permiso de uso
Pozo;SGRH-2015-10-004-0510-1-655;9/12/2050;Registrada;FRAY BENTOS;OSE ;24/11/2015;26/10/2015;9/12/2015;4;17280;Consumo humano;Abastecimiento a poblaciones;-34,3659506;-57,31960845;12;11;4320;COLONIA-1659;244323;23710;;RÍO ROSARIO entre Ao. COLLA y Ao. Sarandí Grande;237;;;;;;31;152,4;4;6;16;;23;Nueva;Permiso de uso
